LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
Original Input: [30000, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 28387, 29612, 30326, 28004, 26446, 6411, 1686, 1400, 560, 3000, 1765, 0]Original Label: [[0.]]
Counterfactual at location: 0,0: [12250, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 27762, 10503, 24218, 26385, 26446, 6411, 1686, 2630, 560, 2983, 86, 864] Fitness: [[1.828572]] Classifier Val: [[0.]]
Counterfactual at location: 0,1: [28313, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 40030, 29512, 31927, 24197, 26446, 6411, 1686, 1906, 560, 3000, 86, 864] Fitness: [[1.8802909]] Classifier Val: [[0.]]
Counterfactual at location: 0,2: [35830, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 27762, 29512, 31927, 25577, 21275, 6244, 1136, 1906, 560, 3000, 86, 864] Fitness: [[1.8656754]] Classifier Val: [[0.]]
Counterfactual at location: 0,3: [45012, 2, 2, 2, 21, 0, 0, 0, 0, 0, 0, 27762, 30481, 38393, 28004, 22380, 7570, 1638, 1505, 560, 3000, 86, 1372] Fitness: [[1.8697402]] Classifier Val: [[0.]]
Counterfactual at location: 1,0: [11234, 2, 2, 2, 21, 0, 0, 0, 0, 0, 0, 29148, 10583, 36802, 29051, 22380, 7570, 1686, 1679, 560, 3447, 303, 3839] Fitness: [[1.8268372]] Classifier Val: [[0.]]
Counterfactual at location: 1,1: [28313, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 40030, 29512, 31321, 29051, 26446, 6411, 1864, 1505, 560, 3000, 190, 864] Fitness: [[1.8923527]] Classifier Val: [[0.]]
Counterfactual at location: 1,2: [35830, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 27762, 29512, 31927, 25577, 26446, 6244, 3025, 1505, 560, 3000, 303, 870] Fitness: [[1.8829691]] Classifier Val: [[0.]]
Counterfactual at location: 1,3: [58788, 2, 2, 2, 21, 0, 0, 0, 0, 0, 0, 26152, 31719, 36802, 28004, 22380, 7570, 1680, 1505, 560, 3447, 303, 1372] Fitness: [[1.8611104]] Classifier Val: [[0.]]
Counterfactual at location: 2,0: [10384, 2, 2, 2, 21, 0, 0, 0, 0, 0, 0, 37494, 16328, 31927, 30527, 26446, 7570, 3107, 1505, 560, 3447, 511, 1767] Fitness: [[1.8237394]] Classifier Val: [[0.00043476]]
Counterfactual at location: 2,1: [29582, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 35314, 29512, 33604, 25577, 24019, 5649, 1686, 1505, 625, 3180, 439, 864] Fitness: [[1.8873932]] Classifier Val: [[0.]]
Counterfactual at location: 2,2: [32474, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 27762, 33198, 33773, 28004, 26446, 6411, 1864, 1906, 560, 3225, 511, 1782] Fitness: [[1.8934999]] Classifier Val: [[0.]]
Counterfactual at location: 2,3: [45362, 2, 2, 2, 21, 0, 0, 0, 0, 0, 0, 27762, 16328, 43516, 29539, 26446, 6411, 1686, 1505, 560, 3447, 484, 1283] Fitness: [[1.8636947]] Classifier Val: [[0.]]
Counterfactual at location: 3,0: [14212, 2, 2, 2, 21, 0, 0, 0, 0, 0, 0, 28893, 7896, 33773, 32883, 24258, 7570, 1680, 1505, 560, 3000, 698, 1469] Fitness: [[1.8484035]] Classifier Val: [[0.]]
Counterfactual at location: 3,1: [24676, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 30800, 29512, 32877, 29051, 24019, 6411, 2653, 1505, 560, 3461, 698, 1036] Fitness: [[1.885366]] Classifier Val: [[0.]]
Counterfactual at location: 3,2: [32474, 2, 2, 2, 21, 0, 0, 0, 0, 0, 0, 27762, 31719, 25265, 29051, 24258, 7570, 1686, 1505, 560, 3447, 698, 2594] Fitness: [[1.8933554]] Classifier Val: [[0.]]
Counterfactual at location: 3,3: [45012, 2, 2, 2, 21, 0, 0, 0, 0, 0, 0, 22489, 31719, 36802, 28004, 22380, 7570, 1680, 1855, 560, 3000, 698, 1372] Fitness: [[1.8700279]] Classifier Val: [[0.]]
Counterfactual at location: 4,0: [12250, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 27762, 10503, 31927, 29051, 22380, 7570, 1686, 1906, 560, 3447, 824, 3839] Fitness: [[1.8443333]] Classifier Val: [[0.]]
Counterfactual at location: 4,1: [26503, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 16172, 26285, 31927, 27044, 26446, 5847, 2585, 1505, 560, 2983, 742, 2320] Fitness: [[1.8767636]] Classifier Val: [[0.]]
Counterfactual at location: 4,2: [32474, 2, 2, 2, 21, 0, 0, 0, 0, 0, 0, 27762, 21736, 34046, 21109, 25133, 6411, 1638, 1505, 560, 3000, 742, 494] Fitness: [[1.8916262]] Classifier Val: [[0.]]
Counterfactual at location: 4,3: [51079, 2, 2, 2, 21, 0, 0, 0, 0, 0, 0, 26899, 16328, 31927, 28536, 24019, 6411, 1686, 1505, 560, 3180, 751, 2232] Fitness: [[1.8773658]] Classifier Val: [[0.]]
Counterfactual at location: 5,0: [10384, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 33676, 11356, 31927, 29707, 21275, 6411, 1686, 1505, 560, 3525, 975, 2232] Fitness: [[1.8523161]] Classifier Val: [[0.]]
Counterfactual at location: 5,1: [29582, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 27762, 31453, 30885, 29707, 21275, 6244, 1686, 1505, 560, 3525, 975, 2232] Fitness: [[1.9105312]] Classifier Val: [[0.]]
Counterfactual at location: 5,2: [35980, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 28893, 29512, 31927, 32883, 32203, 7570, 1795, 1505, 560, 1818, 996, 2585] Fitness: [[1.8835793]] Classifier Val: [[0.]]
Counterfactual at location: 5,3: [54298, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 23245, 36559, 34881, 29051, 26446, 6411, 1784, 2233, 560, 3000, 975, 870] Fitness: [[1.8756154]] Classifier Val: [[0.]]
Counterfactual at location: 6,0: [11234, 2, 2, 2, 21, 0, 0, 0, 0, 0, 0, 29148, 10583, 27082, 29051, 31219, 9532, 1686, 1679, 560, 3447, 1219, 3839] Fitness: [[1.8448597]] Classifier Val: [[1.1293698e-35]]
