LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
Original Input: [30000, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 28387, 29612, 30326, 28004, 26446, 6411, 1686, 1400, 560, 3000, 1765, 0]Original Label: [[0.]]
Counterfactual at location: 0,0: [13859, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 28387, 22962, 1096, 31312, 30881, 6411, 1686, 1400, 560, 3107, 1765, 0] Fitness: [[1.9126015]] Classifier Val: [[4.2291154e-13]]
Counterfactual at location: 0,1: [26687, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 28387, 22962, 1096, 31312, 31703, 6411, 1686, 1631, 560, 3106, 1765, 0] Fitness: [[1.9240831]] Classifier Val: [[0.]]
Counterfactual at location: 0,2: [35485, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 28387, 34385, 1096, 31312, 26446, 6411, 1686, 1400, 560, 2975, 2162, 0] Fitness: [[1.9323978]] Classifier Val: [[0.]]
Counterfactual at location: 0,3: [47050, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 35214, 28995, 1096, 28004, 26446, 6411, 1686, 1795, 560, 3106, 1765, 0] Fitness: [[1.9219508]] Classifier Val: [[0.]]
Counterfactual at location: 1,0: [14563, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 26257, 15960, 5783, 28004, 23918, 8510, 1686, 1400, 560, 3107, 1765, 0] Fitness: [[1.9027557]] Classifier Val: [[0.]]
Counterfactual at location: 1,1: [26330, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 28387, 29612, 5783, 32315, 26446, 6078, 1686, 1400, 560, 3107, 1765, 0] Fitness: [[1.949938]] Classifier Val: [[0.]]
Counterfactual at location: 1,2: [44675, 2, 2, 2, 21, 0, 0, 0, 0, 0, 0, 28387, 29770, 5783, 28004, 26446, 6411, 1686, 1055, 560, 3106, 1765, 0] Fitness: [[1.9361258]] Classifier Val: [[0.]]
Counterfactual at location: 1,3: [47050, 2, 2, 2, 21, 0, 0, 0, 0, 0, 0, 28387, 23667, 5783, 28004, 26446, 6411, 1686, 1400, 560, 3106, 1765, 0] Fitness: [[1.9368682]] Classifier Val: [[0.]]
Counterfactual at location: 2,0: [13859, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 28387, 29612, 8401, 33319, 30881, 6411, 1686, 1400, 560, 3106, 1765, 0] Fitness: [[1.9305099]] Classifier Val: [[1.65456e-25]]
Counterfactual at location: 2,1: [30000, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 28387, 29612, 7432, 28004, 26446, 6411, 1686, 1400, 560, 3429, 1765, 0] Fitness: [[1.9617374]] Classifier Val: [[0.]]
Counterfactual at location: 2,2: [35485, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 28387, 34385, 7193, 31312, 26446, 6411, 1686, 1631, 560, 3106, 1765, 0] Fitness: [[1.9418435]] Classifier Val: [[0.]]
Counterfactual at location: 2,3: [47050, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 28387, 29612, 8401, 33319, 30881, 6411, 1686, 1400, 560, 3106, 1765, 0] Fitness: [[1.9381471]] Classifier Val: [[0.]]
Counterfactual at location: 3,0: [13859, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 28387, 22962, 11566, 31312, 30881, 6411, 1686, 1400, 560, 3107, 1765, 0] Fitness: [[1.9276123]] Classifier Val: [[0.]]
Counterfactual at location: 3,1: [26687, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 30320, 29612, 11566, 31188, 28194, 6411, 1686, 1631, 560, 3106, 1765, 0] Fitness: [[1.9507545]] Classifier Val: [[0.]]
Counterfactual at location: 3,2: [35167, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 28387, 29612, 11566, 28004, 26446, 7632, 1686, 1400, 560, 3174, 1765, 0] Fitness: [[1.9573764]] Classifier Val: [[0.]]
Counterfactual at location: 3,3: [47050, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 28387, 29612, 11566, 33319, 30881, 6411, 1686, 1400, 560, 3106, 1765, 0] Fitness: [[1.9426847]] Classifier Val: [[0.]]
Counterfactual at location: 4,0: [13859, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 28387, 22962, 12606, 31924, 27664, 6411, 1686, 1400, 560, 3107, 1765, 0] Fitness: [[1.9326878]] Classifier Val: [[0.]]
Counterfactual at location: 4,1: [23317, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 28387, 28802, 12606, 28004, 22691, 6411, 1686, 2837, 560, 2555, 1765, 0] Fitness: [[1.9290748]] Classifier Val: [[0.]]
Counterfactual at location: 4,2: [40939, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 28387, 29612, 15132, 32315, 26446, 6411, 1686, 1400, 560, 3107, 1765, 0] Fitness: [[1.9593014]] Classifier Val: [[0.]]
Counterfactual at location: 4,3: [47050, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 35214, 28995, 15132, 28004, 26446, 6411, 1686, 1795, 560, 3107, 1765, 0] Fitness: [[1.9420607]] Classifier Val: [[0.]]
