LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
Original Input: [30000, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 28387, 29612, 30326, 28004, 26446, 6411, 1686, 1400, 560, 3000, 1765, 0]Original Label: [[0.]]
Counterfactual at location: 0,0: [14966, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 33045, 20623, 26559, 28081, 24727, 6474, 1888, 1244, 55, 3191, 1872, 2106] Fitness: [[1.8528452]] Classifier Val: [[4.3672333e-21]]
Counterfactual at location: 0,1: [27515, 2, 2, 2, 23, 0, 0, 0, 0, 0, 0, 27840, 30216, 32104, 26551, 28200, 6474, 1888, 1244, 6, 3191, 1872, 1328] Fitness: [[1.8839353]] Classifier Val: [[4.2970473e-22]]
Counterfactual at location: 0,2: [34535, 2, 2, 2, 23, 0, 0, 0, 0, 0, 0, 30875, 29560, 31848, 28081, 28200, 6474, 1888, 1244, 6, 3191, 1872, 1328] Fitness: [[1.8824211]] Classifier Val: [[0.]]
Counterfactual at location: 0,3: [46505, 2, 2, 2, 23, 0, 0, 0, 0, 0, 0, 27840, 30216, 32104, 26551, 28200, 6474, 1888, 1244, 6, 3191, 1872, 3847] Fitness: [[1.872106]] Classifier Val: [[0.]]
Counterfactual at location: 1,0: [14966, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 33045, 20623, 26559, 28081, 24727, 6474, 1888, 1244, 89, 3357, 2023, 2106] Fitness: [[1.8504038]] Classifier Val: [[7.987031e-24]]
Counterfactual at location: 1,1: [27515, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 27840, 30216, 32104, 26551, 25302, 6474, 1888, 1244, 73, 3191, 1872, 1492] Fitness: [[1.891851]] Classifier Val: [[0.]]
Counterfactual at location: 1,2: [34535, 2, 2, 2, 23, 0, 0, 0, 0, 0, 0, 30875, 29560, 31848, 28081, 28891, 6474, 1888, 1244, 89, 3191, 2023, 1336] Fitness: [[1.8848302]] Classifier Val: [[0.]]
Counterfactual at location: 1,3: [46505, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 30461, 29679, 28153, 28579, 28891, 6474, 1888, 1244, 89, 3191, 1976, 1492] Fitness: [[1.8766298]] Classifier Val: [[0.]]
Counterfactual at location: 2,0: [14966, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 33045, 20623, 28153, 28081, 25975, 6474, 1888, 1244, 123, 3191, 2023, 4430] Fitness: [[1.859402]] Classifier Val: [[3.0761025e-18]]
Counterfactual at location: 2,1: [27515, 2, 2, 2, 23, 0, 0, 0, 0, 0, 0, 27840, 30216, 31848, 26551, 28200, 6474, 1888, 1244, 123, 3191, 1872, 862] Fitness: [[1.8933493]] Classifier Val: [[2.5878397e-18]]
Counterfactual at location: 2,2: [30869, 2, 2, 2, 23, 0, 0, 0, 0, 0, 0, 27840, 27582, 31848, 25443, 25591, 6153, 1803, 1244, 123, 3191, 2023, 1492] Fitness: [[1.8906376]] Classifier Val: [[0.]]
Counterfactual at location: 2,3: [46505, 2, 2, 2, 23, 0, 0, 0, 0, 0, 0, 28725, 29679, 30216, 26631, 30396, 6474, 1888, 1244, 123, 3191, 2023, 2450] Fitness: [[1.8786559]] Classifier Val: [[0.]]
Counterfactual at location: 3,0: [14638, 2, 2, 2, 23, 0, 0, 0, 0, 0, 0, 33045, 20623, 31848, 28579, 20927, 6474, 1888, 3224, 197, 3191, 1872, 1887] Fitness: [[1.8380709]] Classifier Val: [[2.1901545e-11]]
Counterfactual at location: 3,1: [27515, 2, 2, 2, 23, 0, 0, 0, 0, 0, 0, 30901, 27490, 31848, 28282, 30219, 6474, 1888, 1244, 197, 3191, 1872, 2450] Fitness: [[1.893253]] Classifier Val: [[0.]]
Counterfactual at location: 3,2: [30234, 2, 2, 2, 23, 0, 0, 0, 0, 0, 0, 29794, 29679, 31848, 28081, 28200, 6474, 1888, 1244, 197, 3191, 1872, 1492] Fitness: [[1.9040518]] Classifier Val: [[0.]]
Counterfactual at location: 3,3: [46505, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 29794, 32073, 29954, 25443, 28200, 6474, 1888, 1244, 197, 3191, 2023, 2106] Fitness: [[1.8822377]] Classifier Val: [[0.]]
Counterfactual at location: 4,0: [14966, 2, 2, 2, 22, 0, 0, 1, 0, 0, 0, 33045, 20623, 28153, 28081, 28621, 6474, 1888, 1244, 228, 3191, 2023, 4430] Fitness: [[1.8215461]] Classifier Val: [[1.3123196e-17]]
Counterfactual at location: 4,1: [27515, 2, 2, 2, 24, 0, 0, 0, 0, 0, 0, 28725, 28649, 31848, 28579, 25591, 6474, 1888, 1244, 228, 3191, 1911, 1324] Fitness: [[1.9013932]] Classifier Val: [[0.]]
Counterfactual at location: 4,2: [34535, 2, 2, 2, 21, 0, 0, 0, 0, 0, 0, 30461, 30802, 31848, 26551, 29436, 5916, 1820, 1244, 228, 3191, 2023, 3236] Fitness: [[1.8901193]] Classifier Val: [[0.]]
Counterfactual at location: 4,3: [46505, 2, 2, 2, 23, 0, 0, 0, 0, 0, 0, 30901, 29679, 31848, 28081, 28621, 6474, 1888, 2023, 228, 3191, 1911, 2970] Fitness: [[1.8798991]] Classifier Val: [[0.]]
Counterfactual at location: 5,0: [14638, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 29305, 20623, 26559, 28081, 28159, 6474, 1888, 3384, 328, 3501, 2023, 3472] Fitness: [[1.851188]] Classifier Val: [[0.]]
Counterfactual at location: 5,1: [29509, 2, 2, 2, 23, 0, 0, 0, 0, 0, 0, 28421, 32073, 31848, 25443, 28169, 6474, 1888, 1244, 328, 3191, 2056, 1492] Fitness: [[1.90513]] Classifier Val: [[0.]]
Counterfactual at location: 5,2: [37092, 2, 2, 2, 23, 0, 0, 0, 0, 0, 0, 30901, 33254, 29461, 28447, 28621, 6474, 1888, 1244, 328, 3191, 2023, 2450] Fitness: [[1.8967186]] Classifier Val: [[0.]]
Counterfactual at location: 5,3: [46505, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 33045, 32073, 31848, 28579, 28621, 6474, 1888, 1244, 328, 3191, 1872, 1336] Fitness: [[1.89235]] Classifier Val: [[0.]]
Counterfactual at location: 6,0: [14638, 2, 2, 2, 22, 0, 0, 0, 0, -1, 0, 38016, 15183, 31848, 28081, 24786, 6474, 1888, 1156, 368, 3191, 1872, 3472] Fitness: [[1.8210084]] Classifier Val: [[0.]]
Counterfactual at location: 6,1: [27515, 2, 2, 2, 23, 0, 0, 0, 0, 0, 0, 30901, 29560, 29232, 28579, 30610, 6983, 1803, 1244, 354, 2914, 1791, 1336] Fitness: [[1.9099597]] Classifier Val: [[0.]]
Counterfactual at location: 6,2: [34535, 2, 2, 2, 23, 0, 0, 0, 0, 0, 0, 30901, 30216, 31848, 28081, 33673, 6474, 1888, 1244, 354, 3191, 2023, 1336] Fitness: [[1.8989265]] Classifier Val: [[0.]]
Counterfactual at location: 6,3: [46505, 2, 2, 2, 25, 0, 0, 0, 0, 0, 0, 30901, 29255, 31848, 28081, 28200, 6474, 1888, 1244, 368, 3191, 1872, 2559] Fitness: [[1.8969967]] Classifier Val: [[0.]]
Counterfactual at location: 7,0: [14966, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 33045, 20623, 31848, 28081, 24368, 6474, 1888, 2743, 414, 2541, 2023, 2106] Fitness: [[1.8598983]] Classifier Val: [[2.6113895e-08]]
Counterfactual at location: 7,1: [27515, 2, 2, 2, 23, 0, 0, 0, 0, 0, 0, 28725, 32073, 26559, 25443, 28200, 6474, 1888, 1244, 427, 3191, 2023, 1492] Fitness: [[1.906708]] Classifier Val: [[0.]]
Counterfactual at location: 7,2: [42120, 2, 2, 2, 23, 0, 0, 0, 0, 0, 0, 30901, 29679, 26559, 23271, 29499, 5916, 1888, 1244, 427, 3191, 1911, 2155] Fitness: [[1.8921325]] Classifier Val: [[0.]]
Counterfactual at location: 7,3: [46505, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 30901, 29560, 34356, 25443, 28891, 6269, 1888, 1244, 414, 3191, 2023, 1492] Fitness: [[1.8947794]] Classifier Val: [[0.]]
Counterfactual at location: 8,0: [14966, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 31296, 22127, 28153, 28579, 24144, 6474, 1888, 3380, 456, 3191, 1976, 1492] Fitness: [[1.8660631]] Classifier Val: [[0.]]
Counterfactual at location: 8,1: [27515, 2, 2, 2, 23, 0, 0, 0, 0, 0, 0, 30901, 30216, 32104, 25443, 30396, 6474, 1888, 1244, 495, 3191, 2023, 1492] Fitness: [[1.9114759]] Classifier Val: [[4.474135e-32]]
Counterfactual at location: 8,2: [34535, 2, 2, 2, 23, 0, 0, 0, 0, 0, 0, 27879, 35354, 28153, 28579, 28621, 5916, 1888, 1244, 475, 3191, 1872, 1492] Fitness: [[1.9092476]] Classifier Val: [[0.]]
Counterfactual at location: 8,3: [48917, 2, 2, 2, 23, 0, 0, 0, 0, 0, 0, 30461, 29679, 26559, 25443, 28891, 6474, 1803, 1244, 471, 3191, 1976, 1492] Fitness: [[1.8994586]] Classifier Val: [[0.]]
Counterfactual at location: 9,0: [14638, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 33045, 20623, 31848, 28579, 24727, 6474, 1888, 3163, 529, 3191, 2023, 1336] Fitness: [[1.8692893]] Classifier Val: [[1.840243e-15]]
Counterfactual at location: 9,1: [38222, 1, 2, 2, 23, 0, -1, 0, 0, 0, 0, 35402, 27551, 32104, 27776, 32692, 6474, 687, 2503, 474, 3685, 2023, 2132] Fitness: [[2.]] Classifier Val: [[0.]]
Counterfactual at location: 9,2: [34535, 2, 2, 2, 23, 0, 0, 0, 0, 0, 0, 30901, 29560, 31848, 25443, 28891, 6474, 1888, 1244, 529, 3191, 1872, 1336] Fitness: [[1.9181609]] Classifier Val: [[0.]]
Counterfactual at location: 9,3: [46505, 2, 2, 2, 23, 0, 0, 0, 0, 0, 0, 30875, 26248, 31848, 28081, 28200, 6474, 1888, 1244, 529, 3191, 2023, 1336] Fitness: [[1.9053826]] Classifier Val: [[0.]]
