LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
Original Input: [30000, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 28387, 29612, 30326, 28004, 26446, 6411, 1686, 1400, 560, 3000, 1765, 0]Original Label: [[0.]]
Counterfactual at location: 0,0: [14462, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 28387, 989, 30430, 27331, 26446, 6982, 1566, 1537, 652, 3517, 1662, 0] Fitness: [[1.9086723]] Classifier Val: [[0.]]
Counterfactual at location: 0,1: [28462, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 29377, 989, 30445, 22235, 26446, 6982, 1703, 1537, 652, 3517, 1771, 0] Fitness: [[1.9246142]] Classifier Val: [[0.]]
Counterfactual at location: 0,2: [32881, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 28387, 989, 30445, 28427, 25355, 6982, 1566, 1537, 436, 3011, 1662, 0] Fitness: [[1.9287047]] Classifier Val: [[0.]]
Counterfactual at location: 0,3: [47570, 2, 2, 2, 23, 0, 0, 0, 0, 0, 0, 29377, 989, 30445, 25820, 26446, 6982, 1703, 1537, 652, 3273, 1771, 0] Fitness: [[1.9172249]] Classifier Val: [[0.]]
Counterfactual at location: 1,0: [14462, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 28387, 3863, 30445, 28427, 25355, 6982, 1556, 1537, 436, 3273, 1662, 0] Fitness: [[1.9104896]] Classifier Val: [[0.]]
Counterfactual at location: 1,1: [24284, 2, 2, 2, 21, 0, 0, 0, 0, 0, 0, 28387, 3863, 30445, 25820, 26446, 6982, 1556, 1537, 652, 3273, 1771, 0] Fitness: [[1.9276803]] Classifier Val: [[0.]]
Counterfactual at location: 1,2: [30798, 2, 2, 2, 21, 0, 0, 0, 0, 0, 0, 28387, 3863, 29375, 25820, 26446, 6982, 1556, 1537, 652, 3517, 1821, 0] Fitness: [[1.9296896]] Classifier Val: [[0.]]
Counterfactual at location: 1,3: [47570, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 28387, 5049, 30445, 28427, 26446, 6982, 1556, 1537, 652, 3517, 2159, 0] Fitness: [[1.9158151]] Classifier Val: [[0.]]
Counterfactual at location: 2,0: [14462, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 28387, 8124, 30430, 27331, 26446, 6982, 1566, 1563, 652, 3517, 1662, 0] Fitness: [[1.9184896]] Classifier Val: [[0.]]
Counterfactual at location: 2,1: [28462, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 28387, 8124, 30445, 28427, 26446, 6982, 1556, 1563, 652, 3517, 1662, 0] Fitness: [[1.9388981]] Classifier Val: [[0.]]
Counterfactual at location: 2,2: [32881, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 28387, 8124, 30430, 31330, 26446, 6982, 1566, 1563, 652, 3517, 1771, 0] Fitness: [[1.9360181]] Classifier Val: [[0.]]
Counterfactual at location: 2,3: [47570, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 28387, 8124, 30445, 30483, 26446, 6982, 1556, 1537, 652, 3517, 1662, 0] Fitness: [[1.9228383]] Classifier Val: [[0.]]
Counterfactual at location: 3,0: [14462, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 28387, 9731, 30445, 32088, 26446, 6857, 1556, 1537, 436, 3273, 1662, 0] Fitness: [[1.9167401]] Classifier Val: [[0.]]
Counterfactual at location: 3,1: [23798, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 28387, 8958, 30445, 31571, 26446, 6982, 1556, 1537, 652, 3273, 1771, 0] Fitness: [[1.9349115]] Classifier Val: [[0.]]
Counterfactual at location: 3,2: [32881, 2, 2, 2, 21, 0, 0, 0, 0, 0, 0, 28387, 8958, 30445, 25820, 26446, 6982, 1556, 2047, 652, 3273, 1771, 0] Fitness: [[1.9297687]] Classifier Val: [[0.]]
Counterfactual at location: 3,3: [47570, 2, 2, 2, 23, 0, 0, 0, 0, 0, 0, 29377, 9731, 26699, 29253, 30121, 6982, 1566, 1537, 652, 3273, 1821, 0] Fitness: [[1.9174099]] Classifier Val: [[0.]]
Counterfactual at location: 4,0: [14462, 2, 2, 2, 21, 0, 0, 0, 0, 0, 0, 28387, 14303, 29375, 28427, 23420, 6982, 1566, 1537, 652, 3011, 1662, 0] Fitness: [[1.9266851]] Classifier Val: [[0.]]
Counterfactual at location: 4,1: [28462, 2, 2, 2, 21, 0, 0, 0, 0, 0, 0, 29377, 14303, 29375, 22235, 23420, 6982, 1703, 1537, 652, 3011, 1771, 0] Fitness: [[1.9422505]] Classifier Val: [[0.]]
Counterfactual at location: 4,2: [32881, 2, 2, 2, 21, 0, 0, 0, 0, 0, 0, 28387, 12859, 29375, 31571, 26446, 7826, 1566, 1563, 652, 3517, 1821, 0] Fitness: [[1.9339874]] Classifier Val: [[0.]]
Counterfactual at location: 4,3: [47570, 2, 2, 2, 21, 0, 0, 0, 0, 0, 0, 28387, 12859, 29375, 30797, 26446, 6982, 1566, 1563, 652, 3517, 1662, 0] Fitness: [[1.9258126]] Classifier Val: [[0.]]
Counterfactual at location: 5,0: [14462, 2, 2, 2, 21, 0, 0, 0, 0, 0, 0, 34561, 16848, 29375, 31571, 27113, 6955, 1566, 1537, 652, 3011, 1662, 0] Fitness: [[1.9224498]] Classifier Val: [[7.738959e-33]]
Counterfactual at location: 5,1: [24284, 2, 2, 2, 21, 0, 0, 0, 0, 0, 0, 29377, 16848, 29375, 31571, 27113, 6982, 1556, 1537, 652, 2783, 1662, 0] Fitness: [[1.9395874]] Classifier Val: [[0.]]
Counterfactual at location: 5,2: [32881, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 28387, 15892, 36088, 31571, 26446, 7826, 1566, 1563, 652, 3008, 1662, 0] Fitness: [[1.9399137]] Classifier Val: [[0.]]
Counterfactual at location: 5,3: [47570, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 28387, 16848, 30445, 25239, 25355, 6982, 1566, 1537, 436, 2969, 1587, 0] Fitness: [[1.9339569]] Classifier Val: [[0.]]
Counterfactual at location: 6,0: [14462, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 35180, 18729, 30445, 31571, 26446, 6982, 1556, 1537, 1070, 3273, 1662, 0] Fitness: [[1.9103534]] Classifier Val: [[4.1606268e-07]]
