LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
Original Input: [30000, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 28387, 29612, 30326, 28004, 26446, 6411, 1686, 1400, 560, 3000, 1765, 0]Original Label: [[0.]]
Counterfactual at location: 0,0: [14341, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 1195, 30645, 30485, 23519, 25732, 6669, 1661, 1380, 560, 2831, 1808, 0] Fitness: [[0.9193972]] Classifier Val: [[1.]]
Counterfactual at location: 0,1: [28777, 2, 3, 2, 22, 0, 0, 0, 0, 0, 0, 646, 27473, 21257, 23519, 25732, 6082, 1661, 1632, 561, 2808, 1822, 0] Fitness: [[1.8747036]] Classifier Val: [[0.]]
Counterfactual at location: 0,2: [39234, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 646, 30968, 30485, 23519, 24296, 6082, 1661, 1415, 561, 2831, 1999, 0] Fitness: [[1.9236966]] Classifier Val: [[0.]]
Counterfactual at location: 0,3: [45422, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 646, 30968, 30485, 24612, 25732, 6082, 1661, 1369, 561, 3584, 1335, 0] Fitness: [[1.9125853]] Classifier Val: [[0.]]
Counterfactual at location: 1,0: [14341, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 5413, 30645, 30485, 23519, 25732, 6082, 1686, 1380, 560, 2831, 1999, 0] Fitness: [[0.9218976]] Classifier Val: [[1.]]
Counterfactual at location: 1,1: [26781, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 3816, 30662, 20778, 23519, 24139, 7531, 1661, 1380, 561, 3992, 1822, 0] Fitness: [[1.9117935]] Classifier Val: [[0.]]
Counterfactual at location: 1,2: [36591, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 5413, 32811, 30485, 23519, 24296, 5589, 1686, 1380, 560, 2808, 1822, 0] Fitness: [[1.9316785]] Classifier Val: [[0.]]
Counterfactual at location: 1,3: [45422, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 5413, 30645, 26738, 23519, 24296, 6082, 1686, 1380, 560, 2808, 1239, 0] Fitness: [[1.9143505]] Classifier Val: [[0.]]
Counterfactual at location: 2,0: [14025, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 7191, 30662, 30485, 25538, 27359, 6669, 1686, 1380, 560, 2831, 1808, 0] Fitness: [[0.9316018]] Classifier Val: [[1.]]
Counterfactual at location: 2,1: [28777, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 6781, 32811, 20778, 26005, 25567, 7531, 1661, 1632, 560, 2808, 1822, 0] Fitness: [[1.9252243]] Classifier Val: [[0.]]
Counterfactual at location: 2,2: [36591, 2, 2, 2, 22, 0, 0, 0, 0, 0, 0, 7191, 30968, 32175, 23519, 25732, 5589, 1661, 1380, 560, 2808, 1822, 0] Fitness: [[1.9361813]] Classifier Val: [[0.]]
Counterfactual at location: 2,3: [45422, 2, 2, 2, 23, 0, 0, 0, 0, 0, 0, 7191, 30645, 32175, 29789, 25732, 6846, 1686, 1380, 560, 2831, 1771, 0] Fitness: [[1.9371597]] Classifier Val: [[0.]]
